Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Gonzaga 1,WCC,33.05,120.7,87.7,69.9
2,Villanova 1,BE,30.78,122.8,92.0,63.9
3,North Carolina 1,ACC,28.01,122.1,94.1,70.6
4,Kentucky 2,SEC,27.27,119.1,91.9,72.7
5,West Virginia 4,B12,26.80,116.5,89.7,69.8
6,Louisville 2,ACC,26.72,117.2,90.5,67.9
7,Virginia 5,ACC,26.67,113.7,87.0,58.8
8,Wichita St. 10,MVC,26.41,119.6,93.2,68.5
9,Florida 4,SEC,26.39,115.9,89.5,68.7
10,Kansas 1,B12,25.98,120.8,94.9,70.2
11,SMU 6,Amer,25.26,120.1,94.8,63.5
12,Duke 2,ACC,25.09,121.0,95.9,67.9
13,Baylor 3,B12,25.01,117.3,92.3,63.0
14,Saint Mary's 7,WCC,24.64,118.9,94.3,59.2
15,Purdue 4,B10,24.22,116.9,92.7,68.8
16,Oregon 3,P12,23.83,117.7,93.9,66.6
17,Iowa St. 5,B12,23.11,119.6,96.4,68.1
18,UCLA 3,P12,22.95,122.8,99.8,73.1
19,Florida St. 3,ACC,22.74,116.7,94.0,70.7
20,Arizona 2,P12,22.74,117.6,94.9,65.6
21,Michigan 7,B10,22.62,121.6,99.0,62.8
22,Cincinnati 6,Amer,22.32,114.2,91.9,63.7
23,Wisconsin 8,B10,22.29,113.6,91.3,63.2
24,Oklahoma St. 10,B12,22.10,124.8,102.7,70.2
25,Notre Dame 5,ACC,21.09,118.9,97.8,67.0
26,Butler 4,BE,20.91,118.0,97.1,65.2
27,Creighton 6,BE,19.59,115.6,96.1,70.8
28,Marquette 10,BE,17.57,121.0,103.4,69.9
29,Kansas St. 11,B12,17.55,112.0,94.5,66.1
30,Wake Forest 11,ACC,17.27,120.9,103.6,70.4
31,South Carolina 7,SEC,17.03,105.6,88.5,68.1
32,Miami FL 8,ACC,16.96,110.4,93.4,62.9
33,Minnesota 5,B10,16.59,109.6,93.0,69.3
34,Vanderbilt 9,SEC,16.24,112.3,96.1,65.5
35,Clemson 2,ACC,15.89,115.9,100.0,66.2
36,Dayton 7,A10,15.67,112.3,96.6,68.5
37,Rhode Island 11,A10,15.62,110.7,95.1,66.0
38,Arkansas 8,SEC,15.60,116.6,101.0,69.3
39,Northwestern 8,B10,15.51,111.2,95.7,65.0
40,Xavier 11,BE,15.32,114.8,99.4,67.1
41,TCU 4,B12,15.29,113.2,97.9,66.8
42,Indiana 3,B10,15.14,116.6,101.4,68.1
43,Michigan St. 9,B10,14.98,110.6,95.6,66.6
44,Virginia Tech 9,ACC,14.94,117.4,102.4,68.2
45,Maryland 6,B10,14.84,113.6,98.7,67.0
46,Texas Tech,B12,14.75,112.6,97.8,63.6
47,Utah 3,P12,14.74,114.2,99.5,68.4
48,Middle Tennessee 12,CUSA,14.66,111.7,97.0,64.2
49,Houston 2,Amer,14.46,114.0,99.5,64.9
50,Syracuse 1,ACC,14.34,115.9,101.6,66.3
51,Illinois St. 1,MVC,14.33,106.6,92.3,64.6
52,VCU 10,A10,14.30,110.0,95.7,68.1
53,Seton Hall 9,BE,13.95,109.8,95.9,67.2
54,Alabama 3,SEC,13.49,105.5,92.0,64.9
55,Nevada 12,MWC,13.34,114.5,101.1,69.6
56,Providence 11,BE,12.90,108.0,95.1,66.3
57,Georgia 2,SEC,12.83,108.7,95.9,66.9
58,California 1,P12,12.72,104.9,92.1,65.2
59,Princeton 12,Ivy,12.50,109.4,96.9,63.1
60,UNC Wilmington 12,CAA,12.39,117.7,105.3,70.0
61,USC 11,P12,12.34,112.5,100.2,68.8
62,Tennessee,SEC,12.12,109.8,97.7,69.2
63,Vermont 13,AE,11.88,110.8,99.0,64.3
64,East Tennessee St. 13,SC,11.48,108.0,96.5,69.9
65,Oklahoma,B12,11.04,107.3,96.3,69.8
66,Texas A&M,SEC,11.01,108.5,97.5,64.3
67,UCF 4,Amer,11.00,103.9,92.9,65.5
68,Georgetown,BE,10.95,108.6,97.6,68.4
69,Iowa 1,B10,10.61,112.4,101.8,71.1
70,Illinois 2,B10,10.54,107.6,97.0,66.1
71,Ohio St.,B10,10.32,111.3,101.0,67.8
72,Colorado 5,P12,10.21,111.9,101.7,67.6
73,Texas,B12,10.16,104.1,94.0,67.4
74,BYU 3,WCC,9.68,109.1,99.4,75.2
75,Pittsburgh,ACC,9.53,112.7,103.2,65.3
76,UT Arlington 6,SB,9.48,109.8,100.3,69.9
77,Mississippi 5,SEC,9.37,110.1,100.7,71.4
78,San Diego St.,MWC,8.94,103.9,95.0,64.8
79,Monmouth 4,MAAC,8.77,108.8,100.1,72.2
80,Bucknell 13,Pat,8.72,109.1,100.4,69.6
81,Colorado St. 4,MWC,8.48,108.3,99.9,66.0
82,Georgia Tech 6,ACC,8.37,99.0,90.7,67.8
83,Auburn,SEC,8.27,111.7,103.5,73.4
84,Davidson,A10,7.81,108.5,100.7,68.3
85,Belmont 7,OVC,7.60,110.4,102.8,67.8
86,College of Charleston 5,CAA,7.51,105.9,98.4,64.1
87,Penn St.,B10,7.42,104.6,97.2,70.3
88,New Mexico St. 14,WAC,7.31,110.1,102.7,67.4
89,St. Bonaventure,A10,7.28,109.0,101.7,68.6
90,Richmond 6,A10,7.10,108.8,101.7,69.0
91,Louisiana Tech,CUSA,7.00,107.9,100.9,68.4
92,Mississippi St.,SEC,6.85,106.4,99.5,68.8
93,Connecticut,Amer,6.73,105.4,98.6,64.8
94,St. John's,BE,6.52,109.2,102.6,73.1
95,Boise St. 6,MWC,6.51,109.6,103.1,69.2
96,Loyola Chicago,MVC,6.50,108.9,102.4,65.5
97,Valparaiso 7,Horz,6.40,106.7,100.3,66.8
98,Memphis,Amer,6.06,107.1,101.0,68.2
